ダウンロードした時刻：2022/12/25 12:56:59,,,
,,,
,札幌,札幌,札幌
年月日,最高気温(℃),最高気温(℃),最高気温(℃)
,,,
,,品質情報,均質番号
2018/4/1,8.3,8,1
2018/4/2,13.0,8,1
2018/4/3,8.4,8,1
2018/4/4,7.9,8,1
2018/4/5,7.0,8,1
2018/4/6,3.7,8,1
2018/4/7,6.1,8,1
2018/4/8,8.5,8,1
2018/4/9,8.6,8,1
2018/4/10,11.9,8,1
2018/4/11,12.1,8,1
2018/4/12,14.4,8,1
2018/4/13,7.0,8,1
2018/4/14,10.5,8,1
2018/4/15,6.6,8,1
2018/4/16,10.6,8,1
2018/4/17,16.6,8,1
2018/4/18,19.1,8,1
2018/4/19,20.1,8,1
2018/4/20,19.8,8,1
2018/4/21,24.5,8,1
2018/4/22,12.6,8,1
2018/4/23,16.4,8,1
2018/4/24,13.0,8,1
2018/4/25,13.3,8,1
2018/4/26,14.1,8,1
2018/4/27,14.4,8,1
2018/4/28,17.0,8,1
2018/4/29,21.3,8,1
2018/4/30,24.5,8,1